embedding_model,classifier,seed,run,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
bert-base-uncased,KNN,6635,6,0.9840954274353877,0.8792184724689165,0.9287054409005628,25164,1126,0.013,1.306
bert-base-uncased,MLP,6635,6,0.9919786096256684,0.9884547069271759,0.9902135231316725,25164,1126,28.368,0.016
bert-base-uncased,SVM,6635,6,0.593482905982906,0.9866785079928952,0.7411607738492328,25164,1126,1057.559,29.066
bert-base-uncased,RandomForest,7634,7,1.0,0.9680284191829485,0.983754512635379,24681,1126,19.376,0.133
bert-base-uncased,CatBoost,7634,7,0.9857524487978628,0.9831261101243339,0.9844375277901289,24681,1126,9.079,0.017
bert-base-uncased,XGBoost,7634,7,0.9928251121076234,0.9831261101243339,0.9879518072289156,24681,1126,0.518,0.009
bert-base-uncased,DecisionTree,7634,7,0.9737793851717902,0.9564831261101243,0.9650537634408602,24681,1126,2.797,0.004
bert-base-uncased,LogisticRegression,7634,7,0.0718153028910001,0.6243339253996447,0.1288135593220339,24681,1126,8.619,0.002
bert-base-uncased,KNN,7634,7,0.9669669669669669,0.8579040852575488,0.9091764705882353,24681,1126,0.015,1.354
bert-base-uncased,MLP,7634,7,0.9909584086799277,0.9733570159857904,0.982078853046595,24681,1126,17.624,0.014
bert-base-uncased,SVM,7634,7,0.5785900783289817,0.9840142095914742,0.7287076619533048,24681,1126,1033.253,27.482
bert-base-uncased,RandomForest,3184,8,1.0,0.9691011235955056,0.9843081312410842,23852,1068,19.972,0.131
bert-base-uncased,CatBoost,3184,8,0.9990610328638497,0.9962546816479401,0.9976558837318331,23852,1068,9.157,0.021
bert-base-uncased,XGBoost,3184,8,1.0,0.9878277153558053,0.993876589731512,23852,1068,0.696,0.009
bert-base-uncased,DecisionTree,3184,8,0.9725897920604915,0.9634831460674157,0.9680150517403575,23852,1068,3.078,0.004
bert-base-uncased,LogisticRegression,3184,8,0.07210199271480608,0.6301498127340824,0.1293981926552586,23852,1068,9.208,0.01
bert-base-uncased,KNN,3184,8,0.9859762675296656,0.8558052434456929,0.9162907268170426,23852,1068,0.021,1.259
bert-base-uncased,MLP,3184,8,0.9748134328358209,0.9784644194756554,0.9766355140186916,23852,1068,21.704,0.015
bert-base-uncased,SVM,3184,8,0.5842572062084257,0.9868913857677902,0.733983286908078,23852,1068,1039.085,25.957
bert-base-uncased,RandomForest,1039,9,1.0,0.9932489451476794,0.9966130397967824,26007,1185,19.541,0.143
bert-base-uncased,CatBoost,1039,9,0.9966358284272497,1.0,0.9983150800336984,26007,1185,8.804,0.019
bert-base-uncased,XGBoost,1039,9,1.0,0.9974683544303797,0.9987325728770595,26007,1185,0.502,0.01
bert-base-uncased,DecisionTree,1039,9,0.9906143344709898,0.979746835443038,0.9851506151887993,26007,1185,2.965,0.004
bert-base-uncased,LogisticRegression,1039,9,0.07048008171603677,0.640506329113924,0.12698678266688973,26007,1185,9.957,0.003
bert-base-uncased,KNN,1039,9,0.9765258215962441,0.8776371308016878,0.9244444444444444,26007,1185,0.013,1.357
bert-base-uncased,MLP,1039,9,0.992430613961312,0.9957805907172996,0.9941027801179444,26007,1185,25.89,0.015
bert-base-uncased,SVM,1039,9,0.535243292405639,0.9932489451476794,0.6956264775413712,26007,1185,1017.284,29.195
bert-base-uncased,RandomForest,8778,10,1.0,0.9641608391608392,0.9817534490431686,25000,1144,19.261,0.138
bert-base-uncased,CatBoost,8778,10,0.9955673758865248,0.9816433566433567,0.988556338028169,25000,1144,9.09,0.016
bert-base-uncased,XGBoost,8778,10,0.9955357142857143,0.9746503496503497,0.984982332155477,25000,1144,0.51,0.009
bert-base-uncased,DecisionTree,8778,10,0.9691085613415711,0.9597902097902098,0.9644268774703557,25000,1144,2.768,0.004
bert-base-uncased,LogisticRegression,8778,10,0.07271646522686745,0.6416083916083916,0.13062822566292934,25000,1144,8.647,0.003
bert-base-uncased,KNN,8778,10,0.9821251241310824,0.8645104895104895,0.9195722919572292,25000,1144,0.01,1.361
bert-base-uncased,MLP,8778,10,0.9840848806366048,0.9729020979020979,0.9784615384615385,25000,1144,20.142,0.014
bert-base-uncased,SVM,8778,10,0.5845992666317443,0.9755244755244755,0.7310841794955781,25000,1144,1039.317,28.411
